0,0
2.26757e-05,0.0313242
4.53515e-05,0.0625253
6.80272e-05,0.0934807
9.07029e-05,0.124069
0.000113379,0.15417
0.000136054,0.183665
0.00015873,0.212438
0.000181406,0.240377
0.000204082,0.267372
0.000226757,0.293316
0.000249433,0.318108
0.000272109,0.34165
0.000294785,0.36385
0.00031746,0.38462
0.000340136,0.403879
0.000362812,0.421552
0.000385488,0.437569
0.000408163,0.451866
0.000430839,0.464388
0.000453515,0.475086
0.00047619,0.483917
0.000498866,0.490848
0.000521542,0.495849
0.000544218,0.498903
0.000566893,0.499997
0.000589569,0.499126
0.000612245,0.496295
0.000634921,0.491513
0.000657596,0.484801
0.000680272,0.476184
0.000702948,0.465697
0.000725624,0.453379
0.000748299,0.439281
0.000770975,0.423457
0.000793651,0.405969
0.000816327,0.386886
0.000839002,0.366284
0.000861678,0.344242
0.000884354,0.320848
0.000907029,0.296193
0.000929705,0.270375
0.000952381,0.243494
0.000975057,0.215657
0.000997732,0.186973
0.00102041,0.157554
0.00104308,0.127516
0.00106576,0.0969774
0.00108844,0.0660576
0.00111111,0.0348782
0.00113379,0.00356187
0.00115646,-0.0277685
0.00117914,-0.0589898
0.00120181,-0.0899793
0.00122449,-0.120615
0.00124717,-0.150777
0.00126984,-0.180347
0.00129252,-0.209209
0.00131519,-0.237248
0.00133787,-0.264355
0.00136054,-0.290424
0.00138322,-0.315352
0.0014059,-0.339041
0.00142857,-0.361397
0.00145125,-0.382334
0.00147392,-0.401769
0.0014966,-0.419626
0.00151927,-0.435834
0.00154195,-0.45033
0.00156463,-0.463056
0.0015873,-0.473964
0.00160998,-0.483009
0.00163265,-0.490157
0.00165533,-0.495379
0.001678,-0.498655
0.00170068,-0.499971
0.00172336,-0.499324
0.00174603,-0.496715
0.00176871,-0.492154
0.00179138,-0.48566
0.00181406,-0.477258
0.00183673,-0.466981
0.00185941,-0.45487
0.00188209,-0.440971
0.00190476,-0.42534
0.00192744,-0.408038
0.00195011,-0.389133
0.00197279,-0.368699
0.00199546,-0.346816
0.00201814,-0.323571
0.00204082,-0.299055
0.00206349,-0.273364
0.00208617,-0.246599
0.00210884,-0.218865
0.00213152,-0.190272
0.00215419,-0.160931
0.00217687,-0.130957
0.00219955,-0.100469
0.00222222,-0.0695866
0.0022449,-0.0384305
0.00226757,-0.00712355
0.00229025,0.0242114
0.00231293,0.0554513
0.0023356,0.0864733
